place_id,name,locality,rating,user_ratings_total,cuisines,primary_category
ChIJS2aLj-zJ5zsRYHhcKrIHNmE,Scarlett House,Bandra West,4.4,616.0,Restaurant,Restaurant (General)
ChIJCYgo8DjJ5zsR7bT6JcTi800,Candies at Bandra Reclamation,Bandra West,4.2,3440.0,"Cafe, Restaurant",Cafe
ChIJx1z6pkfJ5zsRnwqBprGM1e4,"Domino's Pizza | Bandra West, Mumbai",Bandra West,3.5,692.0,"Delivery, Food Delivery, Italian, Pizza, Restaurant, Takeaway",Italian
ChIJcWB_MV3J5zsR43NUe0qXfSQ,Frys With Fries by Fresh Catch,Bandra West,4.1,105.0,"Fast Food Restaurant, Indian, Restaurant, Seafood, Takeaway",Indian
ChIJPWyqFTzJ5zsRr8xHb0E4IKU,"IGP: Flowers, Cakes & Personalized Gift Shop",Bandra West,3.9,113.0,"Bakery, Confectionery, Dessert, Florist, Food Store, Gift Shop, Wholesaler",Bakery
ChIJASuQ8ZbJ5zsRIkidGtPkTTE,Morii cafe,Bandra West,4.7,160.0,"Bakery, Cafe, Coffee, Confectionery, Dessert, Food Store, Ice Cream, Restaurant, Vegan Restaurant, Vegetarian Restaurant, Wholesaler",Cafe
ChIJt45aZ4bH5zsRqMnebnjRVVk,Bajrang Hotel,Bhandup East,3.8,1754.0,"Breakfast, Candy Store, Confectionery, Fast Food Restaurant, Food Store, Indian, Restaurant, Vegetarian Restaurant",Indian
ChIJ-YHn53m55zsRMeDv9mkmQUM,Annapurna poli bhaji kendra,Bhandup East,4.9,46.0,"Indian, Restaurant",Indian
ChIJXwZTrnu45zsRPTMC6zsOBeE,Bageecha Veg Family Restaurant,Bhandup East,3.9,4061.0,"Breakfast, Chinese, Fast Food Restaurant, Indian, Restaurant, Vegetarian Restaurant",Indian
ChIJf4hGOU7H5zsR-6756I5_85M,PlanD fine dine Family Restaurant and Bar,Bhandup East,4.0,984.0,"Bar, Indian, Restaurant",Indian
ChIJIfL2DGK45zsRtqq3gwl5xE4,Myra Dining And Bar,Bhandup East,4.1,2121.0,"Chinese, Restaurant",Chinese
ChIJa8S5_2a45zsRlBo93UzP9ic,Pooja Restaurant And Bar,Bhandup East,3.9,795.0,"Bar, Restaurant",Restaurant (General)
ChIJxTOK-WS45zsRNXXxwAK4lEI,Kokan Swad - Bhandup,Bhandup East,4.0,1687.0,"Indian, Restaurant, Seafood",Indian
ChIJ0cdWuWC55zsR5fuShFs_pBU,Hotel Marathi Zatka Mumbai,Bhandup East,4.8,510.0,Restaurant,Restaurant (General)
ChIJn4zgucHH5zsRjZ76-0eQ_f8,Cafe Bliss,Bhandup East,5.0,2.0,Cafe,Cafe
ChIJrcZhb8O55zsR-kkXtTDVgPc,Veggie Cafe,Bhandup East,4.9,44.0,Cafe,Cafe
ChIJwxJ9QAC55zsRZLITN6NQlyo,Bhookh Box,Bhandup East,4.8,284.0,"Cafe, Coffee, Food Store",Cafe
ChIJC9YOdPq55zsRy3XlJwtfYAQ,FOOD N DUDES,Bhandup East,4.9,42.0,Cafe,Cafe
ChIJ2Y8nfJ3H5zsRalQqjrz2DwA,Coffeebees Cafe,Bhandup East,4.8,8.0,"Cafe, Coffee, Food Store",Cafe
ChIJEcsWtHfH5zsRh7TY2oE0Gr8,Fresh Fusion cafe,Bhandup East,5.0,2.0,Cafe,Cafe
ChIJiQZwSYnH5zsRlbJjwwOON0Q,New Udipi Tea House,Bhandup East,3.4,18.0,"Cafe, Juice",Cafe
